"","count"
"",11
"AK",582
"AL",2319
"AR",5693
"AZ",1108
"CA",3684
"CO",1629
"CT",2316
"DE",317
"FL",7608
"GA",6548
"HI",115
"IA",1126
"ID",1424
"IL",4455
"IN",1727
"KS",4259
"KY",2454
"LA",4081
"MA",5857
"MD",1413
"ME",663
"MI",2859
"MN",2673
"MO",3507
"MS",5433
"MT",755
"NC",8226
"ND",516
"NE",503
"NH",1096
"NJ",4437
"NM",1331
"NV",369
"NY",3798
"OH",5030
"OK",4864
"OR",3511
"PA",3245
"RI",380
"SC",4658
"SD",135
"TN",4049
"TX",11411
"UT",873
"VA",3461
"VT",266
"WA",5049
"WI",1892
"WV",945
"Total",144661
